"13.0","8","360.0","175.0","3821","11.0","73","1","amc ambassador brougham"
"15.0","8","390.0","190.0","3850","8.5","70","1","amc ambassador dpl"
"17.0","8","304.0","150.0","3672","11.5","72","1","amc ambassador sst"
"19.4","6","232.0","90.00","3210","17.2","78","1","amc concord"
"18.1","6","258.0","120.0","3410","15.1","78","1","amc concord d/l"
"20.2","6","232.0","90.00","3265","18.2","79","1","amc concord dl 6"
"18.0","6","232.0","100.0","2789","15.0","73","1","amc gremlin"
"19.0","6","232.0","100.0","2634","13.0","71","1","amc gremlin"
"20.0","6","232.0","100.0","2914","16.0","75","1","amc gremlin"
"21.0","6","199.0","90.00","2648","15.0","70","1","amc gremlin"
"18.0","6","199.0","97.00","2774","15.5","70","1","amc hornet"
"18.0","6","232.0","100.0","2945","16.0","73","1","amc hornet"
"19.0","6","232.0","100.0","2901","16.0","74","1","amc hornet"
"22.5","6","232.0","90.00","3085","17.6","76","1","amc hornet"
"18.0","6","258.0","110.0","2962","13.5","71","1","amc hornet sportabout (sw)"
"14.0","8","304.0","150.0","3672","11.5","73","1","amc matador"
"15.0","6","258.0","110.0","3730","19.0","75","1","amc matador"
"15.5","8","304.0","120.0","3962","13.9","76","1","amc matador"
"16.0","6","258.0","110.0","3632","18.0","74","1","amc matador"
"18.0","6","232.0","100.0","3288","15.5","71","1","amc matador"
"14.0","8","304.0","150.0","4257","15.5","74","1","amc matador (sw)"
"15.0","8","304.0","150.0","3892","12.5","72","1","amc matador (sw)"
"19.0","6","232.0","90.00","3211","17.0","75","1","amc pacer"
"17.5","6","258.0","95.00","3193","17.8","76","1","amc pacer d/l"
"16.0","8","304.0","150.0","3433","12.0","70","1","amc rebel sst"
"15.6173913043","8","360.0","175.0","3850","11.0","70","1","amc rebel sst (sw)"
"27.4","4","121.0","80.00","2670","15.0","79","1","amc spirit dl"
"24.0","4","107.0","90.00","2430","14.5","70","2","audi 100 ls"
"20.0","4","114.0","91.00","2582","14.0","73","2","audi 100ls"
"23.0","4","115.0","95.00","2694","15.0","75","2","audi 100ls"
"20.3","5","131.0","103.0","2830","15.9","78","2","audi 5000"
"29.0","4","98.00","83.00","2219","16.5","74","2","audi fox"
"26.0","4","121.0","113.0","2234","12.5","70","2","bmw 2002"
"21.5","4","121.0","110.0","2600","12.8","77","2","bmw 320i"
"17.0","6","231.0","110.0","3907","21.0","75","1","buick century"
"13.0","8","350.0","175.0","4100","13.0","73","1","buick century 350"
"13.0","8","350.0","150.0","4699","14.5","74","1","buick century luxus (sw)"
"20.6","6","231.0","105.0","3380","15.8","78","1","buick century special"
"12.0","8","455.0","225.0","4951","11.0","73","1","buick electra 225 custom"
"14.0","8","455.0","225.0","3086","10.0","70","1","buick estate wagon (sw)"
"16.9","8","350.0","155.0","4360","14.9","79","1","buick estate wagon (sw)"
"13.0","8","350.0","155.0","4502","13.5","72","1","buick lesabre custom"
"30.0","4","111.0","80.00","2155","14.8","77","1","buick opel isuzu deluxe"
"17.7","6","231.0","165.0","3445","13.4","78","1","buick regal sport coupe (turbo)"
"21.0","6","231.0","110.0","3039","15.0","75","1","buick skyhawk"
"20.5","6","231.0","105.0","3425","16.9","77","1","buick skylark"
"15.0","8","350.0","165.0","3693","11.5","70","1","buick skylark 320"
"28.4","4","151.0","90.00","2670","16.0","79","1","buick skylark limited"
"23.0","8","350.0","125.0","3900","17.4","79","1","cadillac eldorado"
"16.5","8","350.0","180.0","4380","12.1","76","1","cadillac seville"
"25.0","4","140.0","92.00","2572","14.9","76","1","capri ii"
"15.0","8","350.0","145.0","4440","14.0","75","1","chevrolet bel air"
"13.0","8","350.0","145.0","4055","12.0","76","1","chevrolet c10"
"10.0","8","307.0","200.0","4376","15.0","70","1","chevrolet c20"
"13.0","8","400.0","150.0","4464","12.0","73","1","chevrolet caprice classic"
"17.0","8","305.0","130.0","3840","15.4","79","1","chevrolet caprice classic"
"17.5","8","305.0","145.0","3880","12.5","77","1","chevrolet caprice classic"
"13.0","8","307.0","130.0","4098","14.0","72","1","chevrolet chevelle concours (sw)"
"14.8888888889","8","350.0","165.0","4142","11.5","70","1","chevrolet chevelle concours (sw)"
"16.0","6","250.0","105.0","3897","18.5","75","1","chevrolet chevelle malibu"
"17.0","6","250.0","100.0","3329","15.5","71","1","chevrolet chevelle malibu"
"18.0","8","307.0","130.0","3504","12.0","70","1","chevrolet chevelle malibu"
"16.0","6","250.0","100.0","3781","17.0","74","1","chevrolet chevelle malibu classic"
"17.5","8","305.0","140.0","4215","13.0","76","1","chevrolet chevelle malibu classic"
"29.0","4","85.00","52.00","2035","22.2","76","1","chevrolet chevette"
"30.0","4","98.00","68.00","2155","16.5","78","1","chevrolet chevette"
"30.5","4","98.00","63.00","2051","17.0","77","1","chevrolet chevette"
"28.8","6","173.0","115.0","2595","11.3","79","1","chevrolet citation"
"17.5","6","250.0","110.0","3520","16.4","77","1","chevrolet concours"
"11.0","8","400.0","150.0","4997","14.0","73","1","chevrolet impala"
"13.0","8","350.0","165.0","4274","12.0","72","1","chevrolet impala"
"14.0","8","454.0","220.0","4354","9.0","70","1","chevrolet impala"
"14.0","8","350.0","165.0","4209","12.0","71","1","chevrolet impala"
"13.0","8","350.0","145.0","3988","13.0","73","1","chevrolet malibu"
"20.5","6","200.0","95.00","3155","18.2","78","1","chevrolet malibu"
"19.2","8","267.0","125.0","3605","15.0","79","1","chevrolet malibu classic (sw)"
"15.0","8","400.0","150.0","3761","9.5","70","1","chevrolet monte carlo"
"15.5","8","350.0","170.0","4165","11.4","77","1","chevrolet monte carlo landau"
"19.2","8","305.0","145.0","3425","13.2","78","1","chevrolet monte carlo landau"
"15.0","8","350.0","145.0","4082","13.0","73","1","chevrolet monte carlo s"
